,Teamname,Tournament,Username
294,Charlotte Express,AUDL 2016,Ryan A
295,Charlotte Express,AUDL 2015,Saffa Z
296,Charlotte Express,AUDL 2015,Schanz R
297,Charlotte Express,AUDL 2015,Schopl D
298,Charlotte Express,AUDL 2015,Silva K
299,Charlotte Express,AUDL 2016,Silva K
300,Charlotte Express,AUDL 2015,Sisco S
301,Charlotte Express,AUDL 2016,Sisco S
302,Charlotte Express,AUDL 2015,Stone J
303,Charlotte Express,AUDL 2016,Stone J
304,Charlotte Express,AUDL 2015,Stukes M
305,Charlotte Express,AUDL 2016,Vickro A
306,Charlotte Express,AUDL 2016,Weeks P
307,Charlotte Express,AUDL 2015,Welchm D
308,Charlotte Express,AUDL 2016,Welchm D
309,Charlotte Express,AUDL 2016,Werkme R
310,Charlotte Express,AUDL 2015,Whitti G
311,Chicago Wildfire,AUDL 2015,AJ
312,Chicago Wildfire,AUDL 2016,AJ
313,Chicago Wildfire,AUDL 2015,Adrian
314,Chicago Wildfire,AUDL 2016,Adrian
315,Chicago Wildfire,AUDL 2014,Aj Nelso
316,Chicago Wildfire,AUDL 2014,Alex D-W
317,Chicago Wildfire,AUDL 2014,Andy N
318,Chicago Wildfire,AUDL 2018,Bill
319,Chicago Wildfire,AUDL 2015,Bob
320,Chicago Wildfire,AUDL 2014,Bob L
321,Chicago Wildfire,AUDL 2014,Brett K
322,Chicago Wildfire,AUDL 2015,Brodie
323,Chicago Wildfire,AUDL 2014,Brodie S
324,Chicago Wildfire,AUDL 2018,Bruno
325,Chicago Wildfire,AUDL 2018,CJ
326,Chicago Wildfire,AUDL 2014,Casey D
327,Chicago Wildfire,AUDL 2016,Champe
328,Chicago Wildfire,AUDL 2017,Champe
329,Chicago Wildfire,AUDL 2018,Chowder
330,Chicago Wildfire,AUDL 2014,Chris V
331,Chicago Wildfire,AUDL 2015,Cullen
332,Chicago Wildfire,AUDL 2014,Cullen G
333,Chicago Wildfire,AUDL 2015,DW
334,Chicago Wildfire,AUDL 2016,DW
335,Chicago Wildfire,AUDL 2014,Dan W
336,Chicago Wildfire,AUDL 2014,Dane O
337,Chicago Wildfire,AUDL 2015,Danny
338,Chicago Wildfire,AUDL 2018,Danny
339,Chicago Wildfire,AUDL 2018,Dave
340,Chicago Wildfire,AUDL 2018,Drew
341,Chicago Wildfire,AUDL 2016,Egan
342,Chicago Wildfire,AUDL 2017,Egan
343,Chicago Wildfire,AUDL 2015,Fergus
344,Chicago Wildfire,AUDL 2016,Fergus
345,Chicago Wildfire,AUDL 2016,Furse
346,Chicago Wildfire,AUDL 2017,Gallaghe
347,Chicago Wildfire,AUDL 2014,Gary L
348,Chicago Wildfire,AUDL 2016,Geoff
349,Chicago Wildfire,AUDL 2014,Geoff S
350,Chicago Wildfire,AUDL 2014,George H
351,Chicago Wildfire,AUDL 2018,Goff
352,Chicago Wildfire,AUDL 2015,Goose
353,Chicago Wildfire,AUDL 2014,Goose H
354,Chicago Wildfire,AUDL 2018,Grant
355,Chicago Wildfire,AUDL 2014,Greg S
356,Chicago Wildfire,AUDL 2016,Hidaka
357,Chicago Wildfire,AUDL 2015,J Silver
358,Chicago Wildfire,AUDL 2016,J-Rob
359,Chicago Wildfire,AUDL 2015,JRob
360,Chicago Wildfire,AUDL 2015,JSS
361,Chicago Wildfire,AUDL 2015,Jack
362,Chicago Wildfire,AUDL 2018,Jack
363,Chicago Wildfire,AUDL 2014,James R
364,Chicago Wildfire,AUDL 2017,Janas
365,Chicago Wildfire,AUDL 2018,Jason
366,Chicago Wildfire,AUDL 2018,Jeff
367,Chicago Wildfire,AUDL 2018,Jeremy
368,Chicago Wildfire,AUDL 2015,Jimmy
369,Chicago Wildfire,AUDL 2018,Jimmy
370,Chicago Wildfire,AUDL 2014,John K
371,Chicago Wildfire,AUDL 2016,Johnson
372,Chicago Wildfire,AUDL 2017,Johnson
373,Chicago Wildfire,AUDL 2018,Judah
374,Chicago Wildfire,AUDL 2018,Karl
375,Chicago Wildfire,AUDL 2015,Kaufmann
376,Chicago Wildfire,AUDL 2016,Kaufmann
377,Chicago Wildfire,AUDL 2015,Kennedy
378,Chicago Wildfire,AUDL 2014,Kevin K
379,Chicago Wildfire,AUDL 2017,Kingma
380,Chicago Wildfire,AUDL 2017,Kluender
381,Chicago Wildfire,AUDL 2017,Kuhl
382,Chicago Wildfire,AUDL 2018,Kurt
383,Chicago Wildfire,AUDL 2017,Levorsen
384,Chicago Wildfire,AUDL 2018,Mater
385,Chicago Wildfire,AUDL 2015,MattSteg
386,Chicago Wildfire,AUDL 2015,Matzuka
387,Chicago Wildfire,AUDL 2015,Max
388,Chicago Wildfire,AUDL 2018,Max
389,Chicago Wildfire,AUDL 2016,Miller
390,Chicago Wildfire,AUDL 2017,Miller
391,Chicago Wildfire,AUDL 2018,Neal
392,Chicago Wildfire,AUDL 2014,Neal P
393,Chicago Wildfire,AUDL 2015,Neil
394,Chicago Wildfire,AUDL 2017,Newman
395,Chicago Wildfire,AUDL 2018,Nick
396,Chicago Wildfire,AUDL 2018,Nicky
397,Chicago Wildfire,AUDL 2017,O'Brien
398,Chicago Wildfire,AUDL 2016,Pardo
399,Chicago Wildfire,AUDL 2017,Pardo
400,Chicago Wildfire,AUDL 2018,Pardo
401,Chicago Wildfire,AUDL 2018,Pawel
402,Chicago Wildfire,AUDL 2016,Phelps
403,Chicago Wildfire,AUDL 2017,Phelps
404,Chicago Wildfire,AUDL 2015,Rathunde
405,Chicago Wildfire,AUDL 2016,Rathunde
406,Chicago Wildfire,AUDL 2017,Rathunde
407,Chicago Wildfire,AUDL 2014,Rehmann
408,Chicago Wildfire,AUDL 2014,Rob G
409,Chicago Wildfire,AUDL 2014,Rob S
410,Chicago Wildfire,AUDL 2017,Robin
411,Chicago Wildfire,AUDL 2018,Roddy
