,Teamname,Name,FirstName,LastName
323,Montreal Royal,Henry Rodriguez,Henry,Rodriguez
324,Montreal Royal,Quentin Bonnaud,Quentin,Bonnaud
325,Montreal Royal,Mohamed Chrouh,Mohamed,Chrouh
326,Montreal Royal,Dylan Lacombe-Burgoyne,Dylan,Lacombe-Burgoyne
327,Montreal Royal,Simon Charette,Simon,Charette
328,Montreal Royal,Laurent Faye,Laurent,Faye
329,Montreal Royal,Malik Auger-Semmar,Malik,Auger-Semmar
330,Montreal Royal,Kevin Groulx,Kevin,Groulx
331,Montreal Royal,Kevin Quinlan,Kevin,Quinlan
332,Montreal Royal,Basile Limoges,Basile,Limoges
333,Montreal Royal,Jakob Brissette,Jakob,Brissette
334,Montreal Royal,Esteban Ceballos,Esteban,Ceballos
335,Montreal Royal,Zakarie Massi,Zakarie,Massi
336,New York Empire,Evan Padget,Evan,Padget
337,New York Empire,Noriaki To,Noriaki,To
338,New York Empire,Josh Alorro,Josh,Alorro
339,New York Empire,Matt Auletta,Matt,Auletta
340,New York Empire,Grant Lindsley,Grant,Lindsley
341,New York Empire,TJ Stanton,TJ,Stanton
342,New York Empire,Elliot Lee,Elliot,Lee
343,New York Empire,Conor Kline,Conor,Kline
344,New York Empire,Jack Williams,Jack,Williams
345,New York Empire,Matt LeMar,Matt,LeMar
346,New York Empire,Albert Alarcon,Albert,Alarcon
347,New York Empire,Mike Drost,Mike,Drost
348,New York Empire,Matt Stevens,Matt,Stevens
349,New York Empire,Ryan Holmes,Ryan,Holmes
350,New York Empire,Ben Katz,Ben,Katz
351,New York Empire,Sam Feder,Sam,Feder
352,New York Empire,Tristan Yarter,Tristan,Yarter
353,New York Empire,Beau Kittredge,Beau,Kittredge
354,New York Empire,Matt Weintraub,Matt,Weintraub
355,New York Empire,Jibran Mieser,Jibran,Mieser
356,New York Empire,Ben Jagt,Ben,Jagt
357,New York Empire,Ryan Brown,Ryan,Brown
358,New York Empire,Ryan Drost,Ryan,Drost
359,New York Empire,Marques Brownlee,Marques,Brownlee
360,New York Empire,Jeff Babbitt,Jeff,Babbitt
361,New York Empire,Kyle Dew,Kyle,Dew
362,Ottawa Outlaws,Erich Phang-Lynn,Erich,Phang-Lynn
363,Ottawa Outlaws,Paul Mensah,Paul,Mensah
364,Ottawa Outlaws,Karl Loiseau,Karl,Loiseau
365,Ottawa Outlaws,Derek Alexander,Derek,Alexander
366,Ottawa Outlaws,Ken Alexander,Ken,Alexander
367,Ottawa Outlaws,Matt O'Brien,Matt,O'Brien
368,Ottawa Outlaws,Shintaro Tsukamoto,Shintaro,Tsukamoto
369,Ottawa Outlaws,Ryan Wallace,Ryan,Wallace
370,Ottawa Outlaws,Chad McCausland,Chad,McCausland
371,Ottawa Outlaws,Paul Renaud,Paul,Renaud
372,Ottawa Outlaws,Colin Froats,Colin,Froats
373,Ottawa Outlaws,Alec Arsenault,Alec,Arsenault
374,Ottawa Outlaws,Braedan Robinson,Braedan,Robinson
375,Ottawa Outlaws,Erik Hunter,Erik,Hunter
376,Ottawa Outlaws,Carson Turner,Carson,Turner
377,Ottawa Outlaws,Greg Ellis,Greg,Ellis
378,Ottawa Outlaws,Jon Hallett,Jon,Hallett
379,Ottawa Outlaws,David Colic,David,Colic
380,Ottawa Outlaws,Andrew Ouchterlony,Andrew,Ouchterlony
381,Ottawa Outlaws,Adam O'Donnell,Adam,O'Donnell
382,Ottawa Outlaws,Geoff Bevan,Geoff,Bevan
383,Ottawa Outlaws,Kyle Cantal,Kyle,Cantal
384,Ottawa Outlaws,Nick Boucher,Nick,Boucher
385,Ottawa Outlaws,Jeremy Hill,Jeremy,Hill
386,Philadelphia Phoenix,Dustin Damiano,Dustin,Damiano
387,Philadelphia Phoenix,Brandon Pastor,Brandon,Pastor
388,Philadelphia Phoenix,Shashank Alladi,Shashank,Alladi
389,Philadelphia Phoenix,Austin Lillis,Austin,Lillis
390,Philadelphia Phoenix,Greg Martin,Greg,Martin
391,Philadelphia Phoenix,Mike Campanella,Mike,Campanella
392,Philadelphia Phoenix,Nick Patel,Nick,Patel
393,Philadelphia Phoenix,Ethan Fortin,Ethan,Fortin
394,Philadelphia Phoenix,Himalaya Mehta,Himalaya,Mehta
395,Philadelphia Phoenix,Matt Esser,Matt,Esser
396,Philadelphia Phoenix,Scott Xu,Scott,Xu
397,Philadelphia Phoenix,Zac Sands,Zac,Sands
398,Philadelphia Phoenix,Stuart Hean,Stuart,Hean
399,Philadelphia Phoenix,Jordan Ciccarone,Jordan,Ciccarone
400,Philadelphia Phoenix,James Pollard,James,Pollard
401,Philadelphia Phoenix,Billy Sickles,Billy,Sickles
402,Philadelphia Phoenix,David Baer,David,Baer
403,Philadelphia Phoenix,Francisco Gomez,Francisco,Gomez
404,Philadelphia Phoenix,Mike Arcata,Mike,Arcata
405,Philadelphia Phoenix,Allan Michel,Allan,Michel
406,Philadelphia Phoenix,Ethan Peck,Ethan,Peck
407,Philadelphia Phoenix,Trey Katzenbach,Trey,Katzenbach
408,Philadelphia Phoenix,Colin Masino,Colin,Masino
409,Philadelphia Phoenix,Brice Dunn,Brice,Dunn
410,Philadelphia Phoenix,Marc Sands,Marc,Sands
411,Philadelphia Phoenix,Ryan Weaver,Ryan,Weaver
412,Philadelphia Phoenix,Evan Karson,Evan,Karson
413,Philadelphia Phoenix,Peter Burt,Peter,Burt
414,Philadelphia Phoenix,Sean Mott,Sean,Mott
415,Philadelphia Phoenix,Eric Nardelli,Eric,Nardelli
416,Pittsburgh Thunderbirds,Max Sheppard,Max,Sheppard
417,Pittsburgh Thunderbirds,Jon Mast,Jon,Mast
418,Pittsburgh Thunderbirds,Dayne Meyer,Dayne,Meyer
419,Pittsburgh Thunderbirds,David Vatz,David,Vatz
420,Pittsburgh Thunderbirds,Anson Reppermund,Anson,Reppermund
421,Pittsburgh Thunderbirds,Mark Fedorenko,Mark,Fedorenko
422,Pittsburgh Thunderbirds,Thomas Edmonds,Thomas,Edmonds
423,Pittsburgh Thunderbirds,Patrick McMullen,Patrick,McMullen
424,Pittsburgh Thunderbirds,Adam Burgess,Adam,Burgess
425,Pittsburgh Thunderbirds,Kenny Furdella,Kenny,Furdella
426,Pittsburgh Thunderbirds,Dylan Best,Dylan,Best
427,Pittsburgh Thunderbirds,Kevin Hartley,Kevin,Hartley
428,Pittsburgh Thunderbirds,Jordan Robarge,Jordan,Robarge
429,Pittsburgh Thunderbirds,Noah Robinson,Noah,Robinson
430,Pittsburgh Thunderbirds,Owen Watt,Owen,Watt
431,Pittsburgh Thunderbirds,Jack Hefferon,Jack,Hefferon
432,Pittsburgh Thunderbirds,Alex Thomas,Alex,Thomas
433,Pittsburgh Thunderbirds,Steve Mogielski,Steve,Mogielski
434,Pittsburgh Thunderbirds,Jimmy Towle,Jimmy,Towle
435,Pittsburgh Thunderbirds,Myles Cooper,Myles,Cooper
436,Pittsburgh Thunderbirds,Chris Graber,Chris,Graber
437,Pittsburgh Thunderbirds,Nick Gigliotti,Nick,Gigliotti
438,Pittsburgh Thunderbirds,Robert Halvorsen,Robert,Halvorsen
439,Pittsburgh Thunderbirds,Mohamadou Diatta,Mohamadou,Diatta
440,Pittsburgh Thunderbirds,Steve May,Steve,May
441,Pittsburgh Thunderbirds,Sam VanDusen,Sam,VanDusen
442,Pittsburgh Thunderbirds,John Buss,John,Buss
443,Raleigh Flyers,Vikram Sethuraman,Vikram,Sethuraman
444,Raleigh Flyers,Justin Allen,Justin,Allen
445,Raleigh Flyers,Sol Yanuck,Sol,Yanuck
446,Raleigh Flyers,Jakeem Polk,Jakeem,Polk
447,Raleigh Flyers,J.D. Hastings,J.D.,Hastings
448,Raleigh Flyers,Charlie Muniz,Charlie,Muniz
449,Raleigh Flyers,Chuck Cantone,Chuck,Cantone
450,Raleigh Flyers,Jonathan Nethercutt,Jonathan,Nethercutt
451,Raleigh Flyers,Terrence Mitchell,Terrence,Mitchell
452,Raleigh Flyers,Jacob Mouw,Jacob,Mouw
453,Raleigh Flyers,Henry Fisher,Henry,Fisher
454,Raleigh Flyers,Mischa Freystaetter,Mischa,Freystaetter
455,Raleigh Flyers,Joey Cretella,Joey,Cretella
