,Teamname,Name,FirstName,LastName
254,Madison Radicals,Tom Annen,Tom,Annen
255,Madison Radicals,Benjy Keren,Benjy,Keren
256,Madison Radicals,Joshua Wilson,Joshua,Wilson
257,Madison Radicals,Victor Luo,Victor,Luo
258,Madison Radicals,Andrew Brown,Andrew,Brown
259,Madison Radicals,Brett Robinson,Brett,Robinson
260,Madison Radicals,David Nester,David,Nester
261,Madison Radicals,Logan Pruess,Logan,Pruess
262,Madison Radicals,Chris Wilen,Chris,Wilen
263,Madison Radicals,Nate Bosscher,Nate,Bosscher
264,Madison Radicals,Sterling Knoche,Sterling,Knoche
265,Madison Radicals,Glenn Poole,Glenn,Poole
266,Madison Radicals,Dave Wiseman,Dave,Wiseman
267,Madison Radicals,Rami Paust,Rami,Paust
268,Madison Radicals,Kyle Weigand,Kyle,Weigand
269,Madison Radicals,Ryan Tucker,Ryan,Tucker
270,Madison Radicals,Peter Graffy,Peter,Graffy
271,Madison Radicals,Colin Camp,Colin,Camp
272,Madison Radicals,Jeff Maskalunas,Jeff,Maskalunas
273,Madison Radicals,Chase Marty,Chase,Marty
274,Madison Radicals,Mike Kobyra,Mike,Kobyra
275,Madison Radicals,Thomas Coolidge,Thomas,Coolidge
276,Madison Radicals,Tarik Akyuz,Tarik,Akyuz
277,Madison Radicals,Ben Nelson,Ben,Nelson
278,Madison Radicals,Dylan Power,Dylan,Power
279,Madison Radicals,Luke Marks,Luke,Marks
280,Madison Radicals,Colin Grandon,Colin,Grandon
281,Madison Radicals,Jack Kelly,Jack,Kelly
282,Madison Radicals,Kevin Pettit-Scantling,Kevin,Pettit-Scantling
283,Madison Radicals,Dan Vockeroth,Dan,Vockeroth
284,Madison Radicals,Kyle Dreger,Kyle,Dreger
285,Madison Radicals,Kevin Brown,Kevin,Brown
286,Minnesota Wind Chill,Zac Merie,Zac,Merie
287,Minnesota Wind Chill,Alex Jirele,Alex,Jirele
288,Minnesota Wind Chill,Bryan Vohnoutka,Bryan,Vohnoutka
289,Minnesota Wind Chill,Jesse Greenberg,Jesse,Greenberg
290,Minnesota Wind Chill,Mathew Ladyman,Mathew,Ladyman
291,Minnesota Wind Chill,Cole Jurek,Cole,Jurek
292,Minnesota Wind Chill,Tony Poletto,Tony,Poletto
293,Minnesota Wind Chill,Jordan Taylor,Jordan,Taylor
294,Minnesota Wind Chill,Grayson Pangburn,Grayson,Pangburn
295,Minnesota Wind Chill,Brendan McCann,Brendan,McCann
296,Minnesota Wind Chill,Mitchell McCarthy,Mitchell,McCarthy
297,Minnesota Wind Chill,Kristian Johnson,Kristian,Johnson
298,Minnesota Wind Chill,Ethan Rasmussen,Ethan,Rasmussen
299,Minnesota Wind Chill,Ben Pavelka,Ben,Pavelka
300,Minnesota Wind Chill,Cam Burden,Cam,Burden
301,Minnesota Wind Chill,Michael Jordan,Michael,Jordan
302,Minnesota Wind Chill,Ryan Welch,Ryan,Welch
303,Minnesota Wind Chill,Daniel Bates,Daniel,Bates
304,Minnesota Wind Chill,Josh Klane,Josh,Klane
305,Minnesota Wind Chill,Saurov Dubey,Saurov,Dubey
306,Minnesota Wind Chill,Jimmy Kittlesen,Jimmy,Kittlesen
307,Minnesota Wind Chill,Alan Scarth,Alan,Scarth
308,Minnesota Wind Chill,Dylan DeClerck,Dylan,DeClerck
309,Minnesota Wind Chill,Brandon Matis,Brandon,Matis
310,Minnesota Wind Chill,Jason Tschida,Jason,Tschida
311,Minnesota Wind Chill,Drew Otterlei,Drew,Otterlei
312,Minnesota Wind Chill,Tate Halberg,Tate,Halberg
313,Minnesota Wind Chill,Isaac Leonard,Isaac,Leonard
314,Minnesota Wind Chill,Pat Cashman,Pat,Cashman
315,Minnesota Wind Chill,Quinn Snider,Quinn,Snider
316,Montreal Royal,Vincent Gamache,Vincent,Gamache
317,Montreal Royal,Philippe Bisson,Philippe,Bisson
318,Montreal Royal,Vincent Lemieux,Vincent,Lemieux
319,Montreal Royal,Steve Bonneau,Steve,Bonneau
320,Montreal Royal,Nabil Chaouch,Nabil,Chaouch
321,Montreal Royal,Jacob Saunders,Jacob,Saunders
322,Montreal Royal,Andre Arsenault,Andre,Arsenault
323,Montreal Royal,Jordan Faries,Jordan,Faries
324,Montreal Royal,Gabriel Monfette,Gabriel,Monfette
325,Montreal Royal,Christophe Tremblay-Joncas,Christophe,Tremblay-Joncas
326,Montreal Royal,Mathieu Bosser,Mathieu,Bosser
327,Montreal Royal,Quentin Roger,Quentin,Roger
328,Montreal Royal,Miguel Goderre,Miguel,Goderre
329,Montreal Royal,Sacha Poitte-Sokolsky,Sacha,Poitte-Sokolsky
330,Montreal Royal,Eliott Heloir,Eliott,Heloir
331,Montreal Royal,Brian Howard,Brian,Howard
332,Montreal Royal,Henry Rodriguez,Henry,Rodriguez
333,Montreal Royal,Quentin Bonnaud,Quentin,Bonnaud
334,Montreal Royal,Mohamed Chrouh,Mohamed,Chrouh
335,Montreal Royal,Dylan Lacombe-Burgoyne,Dylan,Lacombe-Burgoyne
336,Montreal Royal,Simon Charette,Simon,Charette
337,Montreal Royal,Laurent Faye,Laurent,Faye
338,Montreal Royal,Malik Auger-Semmar,Malik,Auger-Semmar
339,Montreal Royal,Kevin Groulx,Kevin,Groulx
340,Montreal Royal,Kevin Quinlan,Kevin,Quinlan
341,Montreal Royal,Basile Limoges,Basile,Limoges
342,Montreal Royal,Jakob Brissette,Jakob,Brissette
343,Montreal Royal,Esteban Ceballos,Esteban,Ceballos
344,Montreal Royal,Zakarie Massi,Zakarie,Massi
345,New York Empire,Noriaki To,Noriaki,To
346,New York Empire,Ryan Saffa,Ryan,Saffa
347,New York Empire,Josh Alorro,Josh,Alorro
348,New York Empire,Matt Auletta,Matt,Auletta
349,New York Empire,Grant Lindsley,Grant,Lindsley
350,New York Empire,TJ Stanton,TJ,Stanton
351,New York Empire,Elliot Lee,Elliot,Lee
352,New York Empire,Conor Kline,Conor,Kline
353,New York Empire,Jack Williams,Jack,Williams
354,New York Empire,Matt LeMar,Matt,LeMar
355,New York Empire,Evan Padget,Evan,Padget
356,New York Empire,Joe Ouellette,Joe,Ouellette
