,Teamname,Name,FirstName,LastName
420,Ottawa Outlaws,Braedan Robinson,Braedan,Robinson
421,Ottawa Outlaws,Erik Hunter,Erik,Hunter
422,Ottawa Outlaws,Carson Turner,Carson,Turner
423,Ottawa Outlaws,Greg Ellis,Greg,Ellis
424,Ottawa Outlaws,Jon Hallett,Jon,Hallett
425,Ottawa Outlaws,David Colic,David,Colic
426,Ottawa Outlaws,Andrew Ouchterlony,Andrew,Ouchterlony
427,Ottawa Outlaws,Jeff Lindquist,Jeff,Lindquist
428,Ottawa Outlaws,Adam O'Donnell,Adam,O'Donnell
429,Ottawa Outlaws,Geoff Bevan,Geoff,Bevan
430,Ottawa Outlaws,Kyle Cantal,Kyle,Cantal
431,Ottawa Outlaws,Nick Boucher,Nick,Boucher
432,Ottawa Outlaws,Jeremy Hill,Jeremy,Hill
433,Philadelphia Phoenix,Dustin Damiano,Dustin,Damiano
434,Philadelphia Phoenix,Brandon Pastor,Brandon,Pastor
435,Philadelphia Phoenix,Shashank Alladi,Shashank,Alladi
436,Philadelphia Phoenix,Austin Lillis,Austin,Lillis
437,Philadelphia Phoenix,Greg Martin,Greg,Martin
438,Philadelphia Phoenix,Mike Campanella,Mike,Campanella
439,Philadelphia Phoenix,Connor Boyle,Connor,Boyle
440,Philadelphia Phoenix,Nick Patel,Nick,Patel
441,Philadelphia Phoenix,Ethan Fortin,Ethan,Fortin
442,Philadelphia Phoenix,Himalaya Mehta,Himalaya,Mehta
443,Philadelphia Phoenix,Matt Esser,Matt,Esser
444,Philadelphia Phoenix,Scott Xu,Scott,Xu
445,Philadelphia Phoenix,Zac Sands,Zac,Sands
446,Philadelphia Phoenix,Stuart Hean,Stuart,Hean
447,Philadelphia Phoenix,Jordan Ciccarone,Jordan,Ciccarone
448,Philadelphia Phoenix,Greg Mohler,Greg,Mohler
449,Philadelphia Phoenix,James Pollard,James,Pollard
450,Philadelphia Phoenix,Billy Sickles,Billy,Sickles
451,Philadelphia Phoenix,David Baer,David,Baer
452,Philadelphia Phoenix,Francisco Gomez,Francisco,Gomez
453,Philadelphia Phoenix,Mike Arcata,Mike,Arcata
454,Philadelphia Phoenix,Allan Michel,Allan,Michel
455,Philadelphia Phoenix,Ethan Peck,Ethan,Peck
456,Philadelphia Phoenix,Trey Katzenbach,Trey,Katzenbach
457,Philadelphia Phoenix,Colin Masino,Colin,Masino
458,Philadelphia Phoenix,Dylan Smith,Dylan,Smith
459,Philadelphia Phoenix,Brice Dunn,Brice,Dunn
460,Philadelphia Phoenix,Marc Sands,Marc,Sands
461,Philadelphia Phoenix,Matthew Ballman,Matthew,Ballman
462,Philadelphia Phoenix,Ryan Weaver,Ryan,Weaver
463,Philadelphia Phoenix,Eric Witmer,Eric,Witmer
464,Philadelphia Phoenix,Evan Karson,Evan,Karson
465,Philadelphia Phoenix,Peter Burt,Peter,Burt
466,Philadelphia Phoenix,Patrick Diviney,Patrick,Diviney
