year,team,Assists,Hockey Assists,Throws,Throwaways,Turnovers,Completions,Catches,Goals,Drops,Blocks,Stalls,Callahans,Callahans Thrown,O Points Played,O Possessions Played,D Points Played,D Possessions Played,Holds,Breaks,Games Played,Opponent Possessions Played (O-Line),Opponent Possessions Played (D-Line),O Points Lost,D Points Lost,Points Won,Points Played,Possessions Played,Completion Rate,Throwaway Rate,Assist Rate,Goal Rate,Hold Rate,Break Rate,Scoring Efficiency,O-line Scoring Efficiency,D-line Scoring Efficiency,O-line Takeaway Efficiency,D-line Takeaway Efficiency
2016,Los Angeles Aviators,356,339,4693,271,325,4374,4374,356,48,189,6,0,1,364,447,384,241,232,124,15,198,496,110,232,356,748,688,0.9320264223311314,0.05774557852120179,0.07585766034519498,0.08139003200731595,0.6373626373626373,0.3229166666666667,0.5174418604651163,0.5190156599552572,0.5145228215767634,0.4444444444444444,0.532258064516129
2016,Madison Radicals,411,369,4069,282,376,3702,3702,413,85,276,9,2,1,300,406,440,395,220,191,16,170,637,61,212,411,740,801,0.9098058491029737,0.06930449741951339,0.10100761857950356,0.11156131820637494,0.7333333333333333,0.4340909090909091,0.5131086142322098,0.541871921182266,0.4835443037974684,0.6411764705882352,0.6671899529042387
2016,Minnesota Wind Chill,326,287,4679,358,450,4237,4237,326,84,259,8,0,0,376,564,349,229,227,99,15,323,471,129,225,326,725,793,0.9055353708057278,0.07651207522974994,0.06967300705278906,0.07694123200377626,0.6037234042553191,0.2836676217765043,0.4110970996216898,0.4024822695035461,0.43231441048034935,0.6006191950464397,0.5222929936305732
2016,Montreal Royal,298,270,3596,338,416,3185,3185,298,73,194,5,0,0,351,507,321,211,208,90,14,288,431,125,206,298,672,718,0.885706340378198,0.09399332591768632,0.0828698553948832,0.09356357927786499,0.5925925925925926,0.2803738317757009,0.415041782729805,0.41025641025641024,0.4265402843601896,0.5659722222222222,0.5220417633410672
2016,Nashville NightWatch,298,279,3938,311,381,3566,3566,298,61,135,9,0,1,410,546,317,145,246,52,14,282,404,142,245,298,727,691,0.9055358049771458,0.07897409852717115,0.07567293042153378,0.08356702187324734,0.6,0.1640378548895899,0.4312590448625181,0.45054945054945056,0.3586206896551724,0.4964539007092199,0.3935643564356436
2016,New York Empire,329,305,4195,363,398,3803,3803,329,29,214,6,0,0,326,449,359,292,205,124,15,222,512,96,205,329,685,741,0.9065554231227652,0.0865315852205006,0.07842669845053635,0.0865106494872469,0.6288343558282209,0.34540389972144847,0.44399460188933876,0.45657015590200445,0.4246575342465753,0.5675675675675675,0.599609375
2016,Ottawa Outlaws,340,293,3994,327,403,3597,3597,340,70,201,6,0,0,362,489,358,267,226,114,14,240,505,107,229,340,720,756,0.9006009013520281,0.08187280921382073,0.08512769153730596,0.09452321378926884,0.6243093922651933,0.31843575418994413,0.4497354497354497,0.4621676891615542,0.42696629213483145,0.5541666666666667,0.5465346534653466
2016,Philadelphia Phoenix,221,189,3785,394,496,3293,3293,222,98,153,4,1,2,408,573,244,147,187,34,14,363,351,192,196,221,652,720,0.8700132100396302,0.10409511228533685,0.058388375165125496,0.06741573033707865,0.4583333333333333,0.13934426229508196,0.30694444444444446,0.3263525305410122,0.23129251700680273,0.47107438016528924,0.4415954415954416
2016,Pittsburgh Thunderbirds,391,351,4594,331,407,4199,4199,393,64,249,12,2,0,361,494,420,312,240,151,16,238,571,99,235,391,781,806,0.914018284719199,0.07205050065302569,0.08511101436656508,0.09359371278875923,0.6648199445983379,0.3595238095238095,0.4851116625310174,0.48582995951417,0.483974358974359,0.5840336134453781,0.5884413309982487
2016,Raleigh Flyers,345,307,3813,269,353,3463,3463,345,81,214,3,0,0,348,459,376,253,233,112,15,204,509,84,240,345,724,712,0.9082087595069499,0.07054812483608706,0.0904799370574351,0.09962460294542304,0.6695402298850575,0.2978723404255319,0.4845505617977528,0.5076252723311547,0.4426877470355731,0.5882352941176471,0.5284872298624754
2016,San Diego Growlers,294,284,4196,307,353,3844,3844,296,45,154,1,2,1,370,482,321,179,215,79,14,249,412,130,219,294,691,661,0.9161105815061964,0.07316491897044805,0.07006673021925644,0.07700312174817898,0.581081081081081,0.24610591900311526,0.44478063540090773,0.4460580912863071,0.441340782122905,0.47791164658634533,0.4684466019417476
2016,San Francisco FlameThrowers,390,369,4403,317,360,4047,4047,390,39,213,4,0,0,368,490,408,278,258,132,15,220,541,92,251,390,776,768,0.9191460367930956,0.07199636611401317,0.0885759709289121,0.09636767976278725,0.7010869565217391,0.3235294117647059,0.5078125,0.5265306122448979,0.4748201438848921,0.5818181818181818,0.5360443622920518
2016,San Jose Spiders,334,304,3836,290,342,3506,3506,334,40,179,12,0,2,383,489,354,203,243,91,14,232,456,119,240,334,737,692,0.9139728884254432,0.07559958289885298,0.08706986444212722,0.09526525955504848,0.6344647519582245,0.2570621468926554,0.48265895953757226,0.49693251533742333,0.4482758620689655,0.4870689655172413,0.4736842105263158
2016,Seattle Cascades,401,218,2892,302,358,2535,2535,401,55,190,1,0,0,388,510,426,255,261,140,16,236,537,110,260,401,814,765,0.8765560165975104,0.10442600276625173,0.13865836791147995,0.1581854043392505,0.6726804123711341,0.3286384976525822,0.5241830065359477,0.5117647058823529,0.5490196078431373,0.5338983050847458,0.5158286778398511
2016,Toronto Rush,416,388,4287,313,394,3895,3895,417,79,253,2,1,0,347,472,444,355,241,175,16,215,615,84,238,416,791,827,0.9085607651038022,0.07301142990436202,0.09703755540004665,0.10706033376123235,0.6945244956772334,0.39414414414414417,0.5030229746070133,0.510593220338983,0.49295774647887325,0.6093023255813954,0.6130081300813008
2016,Vancouver Riptide,344,333,3784,269,324,3461,3461,344,54,191,1,0,0,373,481,370,199,247,97,14,212,466,99,253,344,743,680,0.9146405919661733,0.07108879492600423,0.09090909090909091,0.09939323894828084,0.6621983914209115,0.26216216216216215,0.5058823529411764,0.5135135135135135,0.48743718592964824,0.5330188679245282,0.4570815450643777
2017,Atlanta Hustle,344,320,3859,252,297,3568,3568,344,39,165,6,0,1,369,471,370,185,264,80,14,189,469,85,263,344,739,656,0.9245918631769888,0.06530189168178284,0.0891422648354496,0.09641255605381166,0.7154471544715447,0.21621621621621623,0.524390243902439,0.5605095541401274,0.43243243243243246,0.5502645502645502,0.4392324093816631
2017,Austin Sol,339,297,3989,313,366,3630,3630,343,46,160,7,4,0,379,492,364,221,256,83,14,220,495,104,252,339,743,713,0.9100025068939583,0.07846578089746804,0.0849837051892705,0.09449035812672177,0.6754617414248021,0.22802197802197802,0.47545582047685836,0.5203252032520326,0.3755656108597285,0.5272727272727273,0.49090909090909096
2017,Chicago Wildfire,267,251,4543,311,393,4154,4154,268,78,163,4,1,1,332,461,292,204,189,78,14,252,405,118,191,267,624,665,0.914373761831389,0.06845696676205151,0.058771736737838434,0.06451612903225806,0.5692771084337349,0.2671232876712329,0.40150375939849625,0.40997830802603036,0.38235294117647056,0.5317460317460317,0.528395061728395
2017,DC Breeze,391,361,4534,290,365,4179,4179,392,65,210,10,1,0,365,484,420,281,255,136,16,213,558,86,252,391,785,765,0.9217026907807675,0.06396118217909132,0.08623731804146449,0.09380234505862646,0.6986301369863014,0.3238095238095238,0.5111111111111111,0.5268595041322314,0.48398576512455516,0.596244131455399,0.5483870967741935
2017,Dallas Roughnecks,440,402,5086,339,394,4699,4699,440,48,224,7,0,1,388,516,471,332,284,156,17,206,639,74,285,440,859,848,0.9239087691702713,0.06665355878883208,0.08651199370821865,0.09363694403064482,0.7319587628865979,0.33121019108280253,0.5188679245283019,0.5503875968992248,0.46987951807228917,0.6407766990291262,0.5539906103286385
2017,Detroit Mechanix,241,198,3964,424,526,3440,3440,242,100,188,2,1,0,355,578,265,199,187,54,14,375,402,142,191,241,620,777,0.8678102926337034,0.10696266397578204,0.06079717457114026,0.07034883720930232,0.5267605633802817,0.2037735849056604,0.31016731016731014,0.3235294117647059,0.271356783919598,0.6213333333333333,0.5248756218905473
