,Away Team,Away Team Score,Date Location,Home Team,Home Team Score,Matchup Link,Year,Date,Time,City,Week,UniversalGameID
56,Philadelphia Spinners,27,"Sun, 7/15 7:00 PM CDT Cincinnati",Cincinnati Revolution,17,/league/game/2012-07-15-PHS-CIN,2012,2012-07-15,7:00 PM CDT,Cincinnati,14,56
57,Columbus Cranes,25,"Sun, 7/15 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,20,/league/game/2012-07-15-CLB-IND,2012,2012-07-15,7:00 PM CDT,Indianapolis,14,57
58,Connecticut Constitution,0,"Sat, 7/21 7:00 PM CDT Rochester",Rochester Dragons,10,/league/game/2012-07-21-CON-ROC,2012,2012-07-21,7:00 PM CDT,Rochester,15,58
59,Rhode Island Rampage,20,"Sat, 7/21 7:00 PM CDT Philadelphia",Philadelphia Spinners,29,/league/game/2012-07-21-RIR-PHS,2012,2012-07-21,7:00 PM CDT,Philadelphia,15,59
60,Cincinnati Revolution,22,"Sat, 7/21 7:00 PM CDT Detroit",Detroit Mechanix,20,/league/game/2012-07-21-CIN-DET,2012,2012-07-21,7:00 PM CDT,Detroit,15,60
61,Cincinnati Revolution,17,"Sun, 7/22 7:00 PM CDT Columbus",Columbus Cranes,19,/league/game/2012-07-22-CIN-CLB,2012,2012-07-22,7:00 PM CDT,Columbus,15,61
62,Cincinnati Revolution,20,"Sat, 7/28 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,24,/league/game/2012-07-28-CIN-IND,2012,2012-07-28,7:00 PM CDT,Indianapolis,16,62
63,Rhode Island Rampage,21,"Sun, 8/5 7:00 PM CDT Philadelphia",Philadelphia Spinners,35,/league/game/2012-08-05-RIR-PHS,2012,2012-08-05,7:00 PM CDT,Philadelphia,17,63
64,Indianapolis AlleyCats,22,"Sat, 8/11 7:00 PM CDT Philadelphia",Philadelphia Spinners,29,/league/game/2012-08-11-IND-PHS,2012,2012-08-11,7:00 PM CDT,Philadelphia,18,64
65,Chicago Wildfire,26,"Fri, 4/12 7:30 PM CDT Cincinnati",Cincinnati Revolution,15,/league/game/2013-04-12-CHI-CIN,2013,2013-04-12,7:30 PM CDT,Cincinnati,1,65
66,Indianapolis AlleyCats,30,"Sat, 4/13 7:00 PM CDT Detroit",Detroit Mechanix,24,/league/game/2013-04-13-IND-DET,2013,2013-04-13,7:00 PM CDT,Detroit,1,66
67,Minnesota Wind Chill,34,"Sat, 4/20 7:30 PM CDT Indianapolis",Indianapolis AlleyCats,25,/league/game/2013-04-20-MIN-IND,2013,2013-04-20,7:30 PM CDT,Indianapolis,2,69
68,Madison Radicals,22,"Sat, 4/20 8:00 PM CDT Chicago",Chicago Wildfire,21,/league/game/2013-04-20-MAD-CHI,2013,2013-04-20,8:00 PM CDT,Chicago,2,70
69,Toronto Rush,30,"Sat, 4/20 1:00 PM CDT DC",DC Breeze,13,/league/game/2013-04-20-TOR-DC,2013,2013-04-20,1:00 PM CDT,DC,2,67
70,Rochester Dragons,14,"Sat, 4/20 7:00 PM CDT New York",New York Empire,23,/league/game/2013-04-20-ROC-NY,2013,2013-04-20,7:00 PM CDT,New York,2,68
71,Toronto Rush,26,"Sun, 4/21 1:00 PM CDT Philadelphia",Philadelphia Phoenix,25,/league/game/2013-04-21-TOR-PHI,2013,2013-04-21,1:00 PM CDT,Philadelphia,2,71
72,Minnesota Wind Chill,21,"Sun, 4/21 2:30 PM CDT Cincinnati",Cincinnati Revolution,22,/league/game/2013-04-21-MIN-CIN,2013,2013-04-21,2:30 PM CDT,Cincinnati,2,72
73,Rochester Dragons,13,"Sun, 4/21 4:00 PM CDT New Jersey",New Jersey Hammerheads,28,/league/game/2013-04-21-ROC-NJH,2013,2013-04-21,4:00 PM CDT,New Jersey,2,73
74,Madison Radicals,24,"Sun, 4/21 5:00 PM CDT Detroit",Detroit Mechanix,25,/league/game/2013-04-21-MAD-DET,2013,2013-04-21,5:00 PM CDT,Detroit,2,74
