,Year,Week,Team,Actives
50,2019,5,Atlanta Hustle,"Hayden Austin-Knabb; Zack Avello; Hulsmeyer Brett; Phil Dougherty; Karl Ekwurtzel; Christian Gaeta; Elijah Jaime; Matthew Knowles; Will Lindquist; Mac McClellan; Christian Olsen; Javier Ortiz; Player Pierce; Carter Rae; Matt Smith; Coleman Tappero; Austin Taylor; Alex Trautman; Josh Turner; Kelvin Williams; Inactive: Trenton Spinks, Sun Choi"
51,2019,5,Austin Sol,Matthew Bennett; Reese Bowman; John Cecil; Michael Cramer; Brian Gfroerer; Kyle Henke; Jason Holleran; Carter  Hollo; Robert Lewis; Michael Matthis; Elliott Moore; Rory Orloff; Ethan Pollack; Ryan Purcell; Doug Richardson; Andrew Walch; John Walter; Keivaun Waugh; Mason Wuensch; Joshua Zdrodowski; Inactive: Chase Cunningham
52,2019,5,Chicago Wildfire,Von Alanguilan; Ross Barker; Tim Fergus; Charlie Furse; Tommy Gallagher; Pawel Janas; David Meinecke; Danny Miller; Michael Pardo; Matt Rehder; Alex Rummelhart; Jack Shanahan; Drew Swanson**; Jimmy Sykora; Cal Tornabene; Jason Vallee; Seth Weaver; Jeff Weis; Jesse White; Nick Zeman; Inactive: Michael Egan
53,2019,5,DC Breeze,Quinn Bergeron; David Bloodgood; Garrett Braun; Max Cassell; Matt Cullom; Cody Johnston; Peter Mancini; Xavier Maxstadt; Matthew McDonnell; Anthony McLean; Ray Mendoza; Zach Norrbom; Houston Parks; Leo Pierson; Nathan Prior; Joe Richards; David Shields; Kevin Versteeg; Dane Warner; Jeff Wodatch; Inactive: AJ Merriman
54,2019,5,Detroit Mechanix,Jimmy Baker Jr; Alexander Bertoia; Joey Cari; Ben Cheer; Kevin Coulter; Joe Cubitt; Karl Fauerbach; Ashton Hoffman; David Innis; Austin Johnson; Jordan Kinde; Josh Osinski; Justin Perticone; Tyler Postema; Austin Riegel; Joe Rogers; Jeff Schubert; Sam Sincere; Andrew Sjogren; Mark Whitton
55,2019,5,Indianapolis Alleycats,"Cameron Brock; Peter Carleton; Travis Carpenter; Sam Ellison; Jacob Fella; Rick Gross; Alex Henderson; Conner Henderson; David Hortemiller; Nick Hutton; Levi Jacobs; John Jones; Jeremy Keusch; Spencer Loscar; Brett Matzuka; Keegan North; Keenan Plew; Colin Ringwood; Donovan Triplett; Aaron Weaver; Inactive: Kyle Cox, Zach Zebarth"
56,2019,5,Los Angeles Aviators,Tyler Bacon; Tim Beatty; Xavier Charles; Kyle  Conniff; Alex Drum; Collin Gall; Joc Jimenez; Nate Kirchoffer; Danny Landesman; Eric Lissner; Sean McDougall; Andrew Padula; Nate Ransom; Garrett Santi; Jeff Silverman; Ryan Smith; Mitchell Steiner; Zachary Theodore; Matt  Theologidy; Aaron Weaver; Inactive: Zac Schakner
57,2019,5,Minnesota Wind Chill,"Daniel Bates; Cameron Burden; Saurav Dubey; Jesse Greenberg; Scott Hearne; Michael Jordan; James Kittlesen; Josh Klane; Mathew Ladyman; Isaac Leonard; Brandon Matis; Brendan McCann; Mitchell McCarthy; Drew Otterlei; Grayson Pangburn; Josh Poterack; Alan Scarth; Jordan Taylor; Bryan Vohnoutka; Ryan Welch; Inactive: Ethan Rasmussen, Tate Halberg"
58,2019,5,Montreal Royal,André Arsenault; Malik Auger-Semmar; Quentin Bonnaud; Stève Bonneau; Mathieu Bosser; Jakob Brissette; Estéban Ceballos; Nabil Chaouch; Simon Charette; Laurent Faye; Vincent Gamache; Miguel Goderre; Kevin Groulx; Vincent Lemieux; Gabriel Monfette; Sacha Poitte- Sokolsky ; Kevin Quinlan; Quentin Roger; Jacob Saunders; Christophe Tremblay Joncas
59,2019,5,Ottawa Outlaws,Derek Alexander; Geoff Bevan; Nick Boucher; David Colic; Greg Ellis; Colin Froats; Jeremy Hill; Jeff Lindquist; Karl Loiseau; Chad McCausland; Paul Mensah; Adam O'Donnell; Andrew Ouchterlony; Erich Phang-Lyn; Paul Renaud; Braedan Robinson; Shintaro Tsukamoto; Carson Turner; Simon Walker; Ryan Wallace
