,Year,Matchup Link,Date Location,Home Team,Away Team,Home Team Score,Away Team Score,Date,Time,City,Week,UniversalGameID
1022,2019,/league/game/2019-04-06-RAL-AUS,"Sat, 4/6 6:00 PM CDT Austin",Austin Sol,Raleigh Flyers,18,22,2019-04-06,6:00 PM CDT,Austin,1,1022
1023,2019,/league/game/2019-04-06-SJ-SEA,"Sat, 4/6 6:30 PM PDT Seattle",Seattle Cascades,San Jose Spiders,27,28,2019-04-06,6:30 PM PDT,Seattle,1,1023
1024,2019,/league/game/2019-04-06-LA-SD,"Sat, 4/6 6:45 PM PDT San Diego",San Diego Growlers,Los Angeles Aviators,20,18,2019-04-06,6:45 PM PDT,San Diego,1,1024
1025,2019,/league/game/2019-04-06-ATL-TB,"Sat, 4/6 7:05 PM EDT Tampa Bay",Tampa Bay Cannons,Atlanta Hustle,18,17,2019-04-06,7:05 PM EDT,Tampa Bay,1,1025
1026,2019,/league/game/2019-04-12-SJ-LA,"Fri, 4/12 7:30 PM PDT LA",Los Angeles Aviators,San Jose Spiders,22,18,2019-04-12,7:30 PM PDT,LA,2,1026
1027,2019,/league/game/2019-04-13-DC-NY,"Sat, 4/13 6:00 PM EDT New York",New York Empire,DC Breeze,21,18,2019-04-13,6:00 PM EDT,New York,2,1027
1028,2019,/league/game/2019-04-13-DAL-AUS,"Sat, 4/13 6:00 PM CDT Austin",Austin Sol,Dallas Roughnecks,19,17,2019-04-13,6:00 PM CDT,Austin,2,1028
1029,2019,/league/game/2019-04-13-SJ-SD,"Sat, 4/13 6:45 PM PDT San Diego",San Diego Growlers,San Jose Spiders,25,24,2019-04-13,6:45 PM PDT,San Diego,2,1029
1030,2019,/league/game/2019-04-13-RAL-ATL,"Sat, 4/13 7:00 PM EDT Atlanta",Atlanta Hustle,Raleigh Flyers,21,24,2019-04-13,7:00 PM EDT,Atlanta,2,1030
1031,2019,/league/game/2019-04-14-MAD-IND,"Sun, 4/14 6:00 PM EDT Indianapolis",Indianapolis AlleyCats,Madison Radicals,20,22,2019-04-14,6:00 PM EDT,Indianapolis,2,1031
1032,2019,/league/game/2019-04-20-SD-SJ,"Sat, 4/20 7:00 PM PDT San Jose",San Jose Spiders,San Diego Growlers,16,21,2019-04-20,7:00 PM PDT,San Jose,3,1038
1033,2019,/league/game/2019-04-20-ATL-TB,"Sat, 4/20 7:05 PM EDT Tampa Bay",Tampa Bay Cannons,Atlanta Hustle,17,14,2019-04-20,7:05 PM EDT,Tampa Bay,3,1039
1034,2019,/league/game/2019-04-20-AUS-DAL,"Sat, 4/20 7:00 PM CDT Dallas",Dallas Roughnecks,Austin Sol,21,17,2019-04-20,7:00 PM CDT,Dallas,3,1036
1035,2019,/league/game/2019-04-20-DET-IND,"Sat, 4/20 7:00 PM EDT Indianapolis",Indianapolis AlleyCats,Detroit Mechanix,26,22,2019-04-20,7:00 PM EDT,Indianapolis,3,1037
1036,2019,/league/game/2019-04-20-PIT-MAD,"Sat, 4/20 6:00 PM CDT Madison",Madison Radicals,Pittsburgh Thunderbirds,26,17,2019-04-20,6:00 PM CDT,Madison,3,1034
1037,2019,/league/game/2019-04-20-LA-SEA,"Sat, 4/20 6:00 PM PDT Seattle",Seattle Cascades,Los Angeles Aviators,20,24,2019-04-20,6:00 PM PDT,Seattle,3,1033
1038,2019,/league/game/2019-04-20-PHI-DC,"Sat, 4/20 4:00 PM EDT DC",DC Breeze,Philadelphia Phoenix,20,18,2019-04-20,4:00 PM EDT,DC,3,1032
1039,2019,/league/game/2019-04-20-CHI-MIN,"Sat, 4/20 6:00 PM CDT Minnesota",Minnesota Wind Chill,Chicago Wildfire,25,26,2019-04-20,6:00 PM CDT,Minnesota,3,1035
1040,2019,/league/game/2019-04-26-SEA-SD,"Fri, 4/26 7:00 PM PDT San Diego",San Diego Growlers,Seattle Cascades,20,18,2019-04-26,7:00 PM PDT,San Diego,4,1040
1041,2019,/league/game/2019-04-27-TOR-OTT,"Sat, 4/27 2:00 PM EDT Ottawa",Ottawa Outlaws,Toronto Rush,13,19,2019-04-27,2:00 PM EDT,Ottawa,4,1041
